*WEATHER DATA - Station:Poltava - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Poltava 49.37 33.17 340.86 7.69 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 42.83 -8.5 -15.67 0 2.37 NA NA 45.62
1980002 1980 01 02 57.53 -4.43 -11.39 0 3.95 NA NA 59.5
1980003 1980 01 03 33.86 4.68 0.28 3.9 7.25 NA NA 68.69
1980004 1980 01 04 18.03 2.16 -4.3 10.32 4.16 NA NA 76.47
1980005 1980 01 05 37.37 -3.06 -9.17 0.34 3.45 NA NA 63.86
1980006 1980 01 06 34.68 0.58 -6.68 4.05 1.4 NA NA 68.13
1980007 1980 01 07 24.24 3.35 -2.99 3.39 2.92 NA NA 80.28
1980008 1980 01 08 65.54 6.79 -8.28 0.28 1.2 NA NA 75.05
1980009 1980 01 09 57.28 -5.2 -14.22 0 2.02 NA NA 51.64
1980010 1980 01 10 28.66 -5.55 -10.31 1.06 3.8 NA NA 64.39
1980011 1980 01 11 29.84 2.02 0.53 6.59 3.68 NA NA 76.89
1980012 1980 01 12 41.62 3 -0.59 0 3.21 NA NA 80.38
1980013 1980 01 13 23.59 3.85 -0.29 0 2.77 NA NA 83.41
1980014 1980 01 14 21.14 2.62 -0.49 0.55 1.94 NA NA 80.34
1980015 1980 01 15 31.98 2.09 -4.33 1.93 3.81 NA NA 66.22
1980016 1980 01 16 22.72 0.49 -4.08 0 1.59 NA NA 53.98
1980017 1980 01 17 45.76 -3.77 -9.13 0 2.39 NA NA 68.58
1980018 1980 01 18 56.48 -1.79 -8.73 0 1.65 NA NA 68.93
1980019 1980 01 19 53.77 0.68 -4.96 0 1.89 NA NA 68.25
1980020 1980 01 20 46.21 3.38 -1.69 0 0.9 NA NA 71.41
1980021 1980 01 21 33.45 2.58 -2.11 0.56 1.25 NA NA 77.55
1980022 1980 01 22 61.24 -2.55 -7.49 0 1.68 NA NA 78.43
1980023 1980 01 23 63.65 -0.71 -7.91 5.38 4.08 NA NA 77.21
1980024 1980 01 24 55.03 0.95 -4.42 0.95 4.09 NA NA 71.73
1980025 1980 01 25 26.97 1.72 -0.39 0 1.95 NA NA 76.06
1980026 1980 01 26 33.6 1.77 0.41 0.49 1.12 NA NA 73.93
1980027 1980 01 27 53.22 3.21 -0.96 1.93 3.05 NA NA 79.32
1980028 1980 01 28 60.36 0.58 -5.22 0 2.51 NA NA 77.6
1980029 1980 01 29 47.71 1.02 -5.66 0.54 2.03 NA NA 65.18
1980030 1980 01 30 56.61 -2.18 -5.88 0 3.34 NA NA 57.8
1980031 1980 01 31 78.23 -2.14 -10.27 1.56 2.63 NA NA 69.48
1980032 1980 02 01 84.36 -2.74 -10 0 1.26 NA NA 65.08
1980033 1980 02 02 62.95 -3.46 -13.36 3.26 5.8 NA NA 63.55
1980034 1980 02 03 100.08 -8.38 -10.8 0 2.08 NA NA 50.57
1980035 1980 02 04 95.58 -7.91 -16.97 2.22 2.69 NA NA 46.47
1980036 1980 02 05 34.44 3.33 -8.54 9.86 7.51 NA NA 68.39
1980037 1980 02 06 98.26 -14.76 -24.39 0 4.17 NA NA 29.75
1980038 1980 02 07 90.77 -10.22 -18.45 0 4.01 NA NA 29.03
1980039 1980 02 08 79.58 -0.17 -9.75 2.21 6.42 NA NA 81.15
1980040 1980 02 09 98.03 -11.1 -21.46 0 3.29 NA NA 48.48
1980041 1980 02 10 70.07 -4.74 -14.96 0.45 3.37 NA NA 62.84
1980042 1980 02 11 50.19 -5.19 -15.93 1.18 3.37 NA NA 49.93
1980043 1980 02 12 79.67 -0.94 -6.64 2.61 4.21 NA NA 57.17
1980044 1980 02 13 84.48 -9.9 -19.8 0 4.32 NA NA 37.54
1980045 1980 02 14 99.41 -12.35 -18.85 0 5.3 NA NA 29.73
1980046 1980 02 15 96.15 -13.62 -19.7 0 5.58 NA NA 26.05
1980047 1980 02 16 79.96 -19.33 -23.07 0 5.14 NA NA 25.68
1980048 1980 02 17 108.8 -21.29 -25.72 0 4.09 NA NA 23.76
1980049 1980 02 18 99.73 -22.99 -26.78 0 3.48 NA NA 22.5
1980050 1980 02 19 106.06 -21.39 -28.92 0.52 2.88 NA NA 22.55
1980051 1980 02 20 139.45 2.71 -9.14 0 5.6 NA NA 27.57
1980052 1980 02 21 47.31 0.7 -5.58 5.87 6.94 NA NA 58.54
1980053 1980 02 22 111.18 -2.96 -8.92 0.47 1.87 NA NA 68.43
1980054 1980 02 23 133.15 -3.49 -7.66 0 1.07 NA NA 69.12
1980055 1980 02 24 128.25 -1.55 -4.29 0 1.35 NA NA 69.1
1980056 1980 02 25 97.51 1.67 -4.33 0 6.89 NA NA 30.09
1980057 1980 02 26 71.98 1.89 -3.85 0 7.1 NA NA 37.1
1980058 1980 02 27 145.53 2.52 -6.1 0 7.6 NA NA 26.99
1980059 1980 02 28 135.73 2.22 -5.61 0.39 6.65 NA NA 50.66
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 111.24 -5.21 -12.87 0 5.51 NA NA 50.17
1980062 1980 03 02 125.62 -7.33 -14.6 0 3.54 NA NA 36.67
1980063 1980 03 03 133.32 -5.4 -11.14 0 2.35 NA NA 29.46
1980064 1980 03 04 159.94 0.98 -8.8 0 3.34 NA NA 29.96
1980065 1980 03 05 164.45 0.57 -9.45 0 3.41 NA NA 29.2
1980066 1980 03 06 191.28 -1.71 -9.76 0 4.13 NA NA 28.56
1980067 1980 03 07 150.45 -9.35 -18.91 0 4.36 NA NA 31.55
1980068 1980 03 08 207.01 -10.67 -18.81 0 4 NA NA 44.16
1980069 1980 03 09 212.09 -13.62 -22.15 0 3.81 NA NA 44.63
1980070 1980 03 10 174.51 -1.29 -12.2 0 1.77 NA NA 24.83
1980071 1980 03 11 128.48 5.25 -7.89 0 3.43 NA NA 37.69
1980072 1980 03 12 139.25 -2.85 -10.4 0.48 2.85 NA NA 36.69
1980073 1980 03 13 209.48 -3.43 -14.74 0.84 1.79 NA NA 53.14
1980074 1980 03 14 134.22 1.28 -6.6 1 6.24 NA NA 50.38
1980075 1980 03 15 138.18 -7.14 -11.61 0 5.45 NA NA 51.06
1980076 1980 03 16 174.67 -10.21 -16.88 0 4.59 NA NA 49.8
1980077 1980 03 17 228.19 -2.23 -10.24 0 3.85 NA NA 29.56
1980078 1980 03 18 213.06 4.57 -8.28 0.43 4.4 NA NA 58.33
1980079 1980 03 19 173.36 1.53 -3.02 0 3.43 NA NA 65.99
1980080 1980 03 20 104.38 -2.74 -3.53 0 4.62 NA NA 51.68
1980081 1980 03 21 163.62 0.49 -5.16 0 4.5 NA NA 32.78
1980082 1980 03 22 227.51 1.85 -6.07 0 2.8 NA NA 29.24
1980083 1980 03 23 105.17 6.43 -2.15 3.3 5.34 NA NA 45.59
1980084 1980 03 24 104.35 3.32 -1.19 0.41 1.93 NA NA 47.38
1980085 1980 03 25 83.97 3.55 -2.87 5.81 4.72 NA NA 52.31
1980086 1980 03 26 107.95 3.74 -2.22 3.84 3.99 NA NA 53.28
1980087 1980 03 27 105.14 6.88 1.09 0 0.94 NA NA 38.59
1980088 1980 03 28 108.1 7.74 0.37 0 0.91 NA NA 30.99
1980089 1980 03 29 108.61 7.3 -1.45 1.55 5.06 NA NA 51.69
1980090 1980 03 30 110.58 2.65 -4.52 0 4.64 NA NA 36.18
1980091 1980 03 31 175.4 6.01 -1.34 0 3.81 NA NA 29.85
1980092 1980 04 01 152.35 8.6 1.69 7.72 2.79 NA NA 35.14
1980093 1980 04 02 164.64 9.42 2.11 0 1.91 NA NA 37.58
1980094 1980 04 03 200.63 7.32 -2.12 1.74 1.45 NA NA 29.27
1980095 1980 04 04 88.89 10.73 0.9 6.71 2.5 NA NA 60.3
1980096 1980 04 05 202.08 8.83 0.65 0 3.25 NA NA 30.42
1980097 1980 04 06 195.79 10.68 0.63 0 2.65 NA NA 28.79
1980098 1980 04 07 217.17 17.34 4.1 0 2.89 NA NA 40.22
1980099 1980 04 08 115.03 20.64 4.2 0 2.55 NA NA 54.59
1980100 1980 04 09 214.08 11.03 2.18 0 3.32 NA NA 51.85
1980101 1980 04 10 141.12 22.44 7.84 0 2.1 NA NA 55.83
1980102 1980 04 11 78.88 8.55 -0.53 1.78 3.24 NA NA 68.66
1980103 1980 04 12 160 14.05 5.02 0 2.12 NA NA 29.92
1980104 1980 04 13 218.29 18.81 4.71 0 1.36 NA NA 34.81
1980105 1980 04 14 214.4 15.38 4.03 0 4.67 NA NA 34.72
1980106 1980 04 15 249.28 21.71 7.86 0 4.99 NA NA 29.4
1980107 1980 04 16 225.06 22.23 8.99 0 3.45 NA NA 28.98
1980108 1980 04 17 236.27 18.76 7.42 0 2.65 NA NA 34.16
1980109 1980 04 18 232.69 18.87 4.14 0 1.82 NA NA 42.91
1980110 1980 04 19 89.01 16.73 2.87 0 3.3 NA NA 46.02
1980111 1980 04 20 221.77 20.95 6.34 0 3.48 NA NA 49.18
1980112 1980 04 21 78.8 14.52 2.75 2.3 4.83 NA NA 57.89
1980113 1980 04 22 182.89 13.34 7.67 0.95 4.58 NA NA 53.08
1980114 1980 04 23 169.12 16.63 7.21 4.83 3.34 NA NA 56
1980115 1980 04 24 97.63 21.08 10.98 1.99 4.52 NA NA 43.86
1980116 1980 04 25 172.87 11.1 2.64 0 3.71 NA NA 54.13
1980117 1980 04 26 220.93 12.4 5.39 0 2.39 NA NA 40.22
1980118 1980 04 27 269.72 15.79 5.74 0 1.2 NA NA 28.18
1980119 1980 04 28 291.95 14.89 2.61 0 3.04 NA NA 36.63
1980120 1980 04 29 76.13 17.3 3.26 1.22 3.29 NA NA 69.85
1980121 1980 04 30 72.68 9.12 2.56 0 1.19 NA NA 72.04
1980122 1980 05 01 248.3 14.85 7.51 0 4.89 NA NA 45.73
1980123 1980 05 02 238.72 25.98 9.11 0 4 NA NA 45.55
1980124 1980 05 03 247.75 21.85 7.5 0.85 4.3 NA NA 49.63
1980125 1980 05 04 151.42 23.54 8.35 0 6.26 NA NA 46.53
1980126 1980 05 05 97.71 14.68 5.72 0.91 6.28 NA NA 21.26
1980127 1980 05 06 146.24 14.3 4.93 0 2.37 NA NA 37.21
1980128 1980 05 07 160.11 16.76 7.32 0 2.2 NA NA 50.6
1980129 1980 05 08 139.55 16.32 6.26 0 2.63 NA NA 66.66
1980130 1980 05 09 326.5 16.35 7.44 0 4.76 NA NA 38.5
1980131 1980 05 10 104.74 20.45 9.46 0.16 4.79 NA NA 42.81
1980132 1980 05 11 91.43 17.1 8.88 0.91 3.88 NA NA 65.2
1980133 1980 05 12 152.87 14.89 7.42 3.93 3.65 NA NA 68.86
1980134 1980 05 13 230.68 12.25 8.81 0 3.26 NA NA 35.98
1980135 1980 05 14 352.41 19.04 6.29 0 1.36 NA NA 26.55
1980136 1980 05 15 329.18 23.18 10.04 0 0.73 NA NA 29.65
1980137 1980 05 16 290.19 25.63 11.86 0 0.8 NA NA 15.67
1980138 1980 05 17 248.4 24.82 9.95 0 2.67 NA NA 34.67
1980139 1980 05 18 142.46 27.21 13.5 2.54 2.67 NA NA 48.48
1980140 1980 05 19 182.81 21.84 10.28 8.61 1.61 NA NA 60.12
1980141 1980 05 20 322.5 18.43 9.06 0 2.57 NA NA 47.36
1980142 1980 05 21 293.14 25.21 11.74 0 3.66 NA NA 33.84
1980143 1980 05 22 270.96 31.04 15.81 0.99 3.38 NA NA 38.92
1980144 1980 05 23 100.28 22.62 11.37 1.84 2.81 NA NA 59.85
1980145 1980 05 24 126.88 20.74 11.44 5.06 2.34 NA NA 71.87
1980146 1980 05 25 112.27 16.95 9.73 3.94 2.78 NA NA 76.95
1980147 1980 05 26 336.64 20.18 9.05 0 2.2 NA NA 33.65
1980148 1980 05 27 339.25 19.23 6.24 0 1.26 NA NA 32.79
1980149 1980 05 28 195.41 24.9 10.55 0 2.3 NA NA 39.13
1980150 1980 05 29 94.58 19.73 9.1 14.12 1.95 NA NA 58.39
1980151 1980 05 30 321.51 18.9 11.59 0 1.73 NA NA 26.54
1980152 1980 05 31 212.99 20.96 8.95 3.78 2.13 NA NA 34.18
1980153 1980 06 01 240.98 25.45 12.31 0 2.11 NA NA 35.8
1980154 1980 06 02 209.48 22.16 10.94 14.42 2.96 NA NA 58.24
1980155 1980 06 03 222.33 23.85 13.53 1.11 2.51 NA NA 55.6
1980156 1980 06 04 249.39 25.86 14.48 0 2.52 NA NA 45.2
1980157 1980 06 05 182.44 26.32 14.96 19.95 2.53 NA NA 55.68
1980158 1980 06 06 101.36 24.59 12.89 3.91 2.21 NA NA 50.36
1980159 1980 06 07 242.9 24.31 12.49 0.42 2.09 NA NA 34.26
1980160 1980 06 08 276.29 22.73 11.65 3.07 1.37 NA NA 36.51
1980161 1980 06 09 223.98 19.1 11.11 0 2.18 NA NA 36.98
1980162 1980 06 10 179.68 21.91 10.15 10.01 2.88 NA NA 45.02
1980163 1980 06 11 132.54 15.02 8.97 0 3.09 NA NA 24.74
1980164 1980 06 12 76.3 17.25 8.21 1.52 3.08 NA NA 22.76
1980165 1980 06 13 169.22 16.57 7.19 0 2.27 NA NA 22.79
1980166 1980 06 14 241.96 18.81 9.62 0 1.84 NA NA 25.31
1980167 1980 06 15 223.23 25.6 12.1 0 2.19 NA NA 24.68
1980168 1980 06 16 221.36 24.21 12.49 0 3.13 NA NA 30.31
1980169 1980 06 17 201.64 19.92 10.99 0 3.25 NA NA 28.76
1980170 1980 06 18 208.28 19.66 9.4 0 3.45 NA NA 40.7
1980171 1980 06 19 147.13 19.62 10.23 0 3.25 NA NA 39.65
1980172 1980 06 20 133.09 25.47 15.05 0 0.89 NA NA 40.27
1980173 1980 06 21 188.62 22.59 12.55 2.39 3.19 NA NA 40.34
1980174 1980 06 22 219.97 20.52 13.73 4.04 3.58 NA NA 44.28
1980175 1980 06 23 319.54 22.01 13.32 6.01 4.16 NA NA 31.29
1980176 1980 06 24 219.55 25.98 13.26 3.22 2.18 NA NA 60.78
1980177 1980 06 25 196.71 21.18 13.66 0 1.42 NA NA 45.66
1980178 1980 06 26 200.72 23.89 13.36 0 1.5 NA NA 58.5
1980179 1980 06 27 217.68 25.53 17.49 0 2.39 NA NA 46.89
1980180 1980 06 28 168.86 20.88 13.07 2.85 2.71 NA NA 53.35
1980181 1980 06 29 306.05 21.23 10.92 0 3.85 NA NA 23.52
1980182 1980 06 30 223.67 31.51 16.06 0 2.83 NA NA 30.28
1980183 1980 07 01 295.53 28.62 16.12 1.68 3.51 NA NA 26.71
1980184 1980 07 02 211.18 23.78 10.67 0 3.38 NA NA 39.23
1980185 1980 07 03 255.73 23.2 11.83 0.82 2.42 NA NA 31.76
1980186 1980 07 04 316.18 24.65 11.78 0 2.6 NA NA 25.1
1980187 1980 07 05 322.38 24.56 11.89 0 1.37 NA NA 23.12
1980188 1980 07 06 204.36 28.05 14.64 2.1 1.57 NA NA 26.8
1980189 1980 07 07 282.07 24.15 13.1 0.54 0.98 NA NA 25.99
1980190 1980 07 08 237.66 24.8 13.24 0 1.98 NA NA 26.75
1980191 1980 07 09 241.64 26.85 13.37 3.44 4.06 NA NA 35.26
1980192 1980 07 10 213.83 22.65 12.87 0.86 4.53 NA NA 35.37
1980193 1980 07 11 263.19 23.53 13.06 0.59 2.12 NA NA 31.83
1980194 1980 07 12 264.53 26.41 14.56 0.91 0.85 NA NA 25.25
1980195 1980 07 13 263.6 29.72 17.32 0 0.98 NA NA 26.81
1980196 1980 07 14 271.62 27.9 17.17 7.77 3.01 NA NA 34.88
1980197 1980 07 15 252.7 29.35 19.11 1.54 1.49 NA NA 34.3
1980198 1980 07 16 281.2 27.86 18.19 0 2.23 NA NA 31.12
1980199 1980 07 17 262.58 27.29 18.86 1.22 1.64 NA NA 27.4
1980200 1980 07 18 204.17 26.39 16.35 4.66 3.91 NA NA 42.82
1980201 1980 07 19 233.41 22.37 13.69 3.35 2.95 NA NA 33.93
1980202 1980 07 20 120.09 24.05 12.92 0 2.64 NA NA 36.96
1980203 1980 07 21 276.31 25.06 13.95 1.92 1.71 NA NA 27.28
1980204 1980 07 22 219.17 25.55 14.03 1.7 4.16 NA NA 45.01
1980205 1980 07 23 221.84 21.48 12.42 0 4.69 NA NA 28.2
1980206 1980 07 24 198.66 23.19 11.63 0.42 3.22 NA NA 28.87
1980207 1980 07 25 246.46 23.7 14 0 2.28 NA NA 23.75
1980208 1980 07 26 255.89 24.38 14 0 3.22 NA NA 23.36
1980209 1980 07 27 95.46 28.62 15.26 44.96 0.7 NA NA 39.22
1980210 1980 07 28 214.71 18.57 13.37 5.47 3.25 NA NA 34.82
1980211 1980 07 29 252.08 22.45 13.97 0 1.71 NA NA 24.85
1980212 1980 07 30 197.84 25.52 15.59 0 1.43 NA NA 26.87
1980213 1980 07 31 229.48 26.11 14.3 0 0.85 NA NA 26.62
1980214 1980 08 01 261.84 26.98 15.26 0 1.28 NA NA 31.74
1980215 1980 08 02 276.54 28.6 15.64 0 2.04 NA NA 28.17
1980216 1980 08 03 293.31 30.49 17.57 0 0.32 NA NA 24.06
1980217 1980 08 04 291.33 28.01 14.88 0 1.48 NA NA 26.07
1980218 1980 08 05 239.73 32.59 18.74 0 2.71 NA NA 59.61
1980219 1980 08 06 196.83 28.71 20.22 0 2.28 NA NA 54.54
1980220 1980 08 07 203.84 26.59 18.31 1.25 2.01 NA NA 41.67
1980221 1980 08 08 185.16 25.99 14.69 2.41 1.58 NA NA 53.64
1980222 1980 08 09 229.97 25.06 17.27 0 2.04 NA NA 34.51
1980223 1980 08 10 264.62 28.06 17.25 0 2.1 NA NA 26.79
1980224 1980 08 11 268.05 28.24 16.06 0 1.6 NA NA 23.73
1980225 1980 08 12 270.75 29.78 16.21 0 1.75 NA NA 23.86
1980226 1980 08 13 260.94 30.52 17.17 0 0.78 NA NA 23.95
1980227 1980 08 14 246.44 29.46 16.54 0 0.48 NA NA 15.82
1980228 1980 08 15 263.94 27.5 15.56 0 1.14 NA NA 23.77
1980229 1980 08 16 214.88 30.31 16.44 0 2.01 NA NA 25.64
1980230 1980 08 17 257.69 31.84 18.21 0 0.67 NA NA 25.25
1980231 1980 08 18 236.76 31.43 18.39 0 1.3 NA NA 21.85
1980232 1980 08 19 224.39 33.3 19.13 0 2.34 NA NA 15.51
1980233 1980 08 20 217.37 31.86 17.68 1.82 2.18 NA NA 26.59
1980234 1980 08 21 147.97 29.3 16.04 0 3.25 NA NA 23.61
1980235 1980 08 22 255.79 31.5 17.01 0 4 NA NA 30.83
1980236 1980 08 23 127.68 25.35 13.82 0 4.7 NA NA 39.6
1980237 1980 08 24 38.54 19.52 10.51 0 3.39 NA NA 76.77
1980238 1980 08 25 163.3 19.44 13.12 0 2.7 NA NA 31.86
1980239 1980 08 26 197.9 30.16 17.87 0 3.5 NA NA 27.59
1980240 1980 08 27 224.64 29.91 17.23 0 2.03 NA NA 24.44
1980241 1980 08 28 207.52 30.48 17.16 0 1.67 NA NA 24.03
1980242 1980 08 29 215.38 30.83 17.16 0 1.49 NA NA 24.98
1980243 1980 08 30 203.97 30.39 16.78 0 1.87 NA NA 25.82
