*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: UG - Method: QM - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 116 11.04 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 30.41 8.3 4.3 10.06 7.01 NA NA 80.79
1980002 1980 01 02 35.74 4.12 -2.97 0.31 4.11 NA NA 52.43
1980003 1980 01 03 54.44 1.78 -3.42 -0.01 2.4 NA NA 68.2
1980004 1980 01 04 23.8 5.34 0.9 2.99 5.01 NA NA 80.3
1980005 1980 01 05 30.08 2.98 -1.35 0.7 3 NA NA 86.18
1980006 1980 01 06 32.39 4.1 -2.57 1.39 3.61 NA NA 67
1980007 1980 01 07 25.29 2.9 -3.58 0.58 3.8 NA NA 77.65
1980008 1980 01 08 46.35 1.7 -6.45 -0.01 2.3 NA NA 59.09
1980009 1980 01 09 60.18 7 -0.7 -0.01 4.01 NA NA 50.47
1980010 1980 01 10 40.5 8.67 5.32 1.21 5.13 NA NA 65.45
1980011 1980 01 11 28.88 5.09 2.68 -0.01 4.41 NA NA 70.65
1980012 1980 01 12 29.26 7.21 1.01 2.39 3.8 NA NA 78.39
1980013 1980 01 13 18.35 8.5 5.72 1.99 3.1 NA NA 89.11
1980014 1980 01 14 30.02 8.41 4.3 -0.02 2.91 NA NA 84.43
1980015 1980 01 15 26.63 9.21 3.91 -0.01 2.99 NA NA 85.47
1980016 1980 01 16 17.27 9.01 6.91 3.31 4.01 NA NA 89.37
1980017 1980 01 17 21.67 9.6 2.73 1.99 5.31 NA NA 79.23
1980018 1980 01 18 41.68 6.4 2.73 0.29 5.7 NA NA 71.32
1980019 1980 01 19 31.25 6.39 1.47 1.62 3.71 NA NA 78.89
1980020 1980 01 20 43.06 4.27 -1.4 0.29 2.69 NA NA 74.98
1980021 1980 01 21 19.52 10.11 4.3 6.11 4.72 NA NA 86.17
1980022 1980 01 22 20.81 10.71 9.15 3.39 2.95 NA NA 94.24
1980023 1980 01 23 24.32 11.64 9.3 0.89 3.2 NA NA 90.27
1980024 1980 01 24 39.36 11.72 7.82 -0.01 1.76 NA NA 78.89
1980025 1980 01 25 24.17 12.32 8.06 0 3 NA NA 85.06
1980026 1980 01 26 42.77 11.92 3 1.88 4.52 NA NA 57.91
1980027 1980 01 27 42.85 7 1.59 2.29 3.1 NA NA 63.4
1980028 1980 01 28 24.21 9.6 5.23 0.79 5.3 NA NA 83.38
1980029 1980 01 29 42.73 5.48 1.44 0.01 4.21 NA NA 69.78
1980030 1980 01 30 49.78 4.49 -1.6 -0.01 3.01 NA NA 54.79
1980031 1980 01 31 83.3 4.1 -3 -0.01 0.76 NA NA 55.18
1980032 1980 02 01 39.33 5.19 -1.12 -0.01 2.29 NA NA 76.2
1980033 1980 02 02 24.04 9.14 0.69 -0.03 1.29 NA NA 87.4
1980034 1980 02 03 84.74 7.4 -2.03 -0.01 0.47 NA NA 56.36
1980035 1980 02 04 98.45 5.73 -3.1 -0.01 0.34 NA NA 56.54
1980036 1980 02 05 93.75 5.39 -3.01 -0.01 0.15 NA NA 54.96
1980037 1980 02 06 83.37 6.23 -2.91 -0.01 0.16 NA NA 52.43
1980038 1980 02 07 67.25 8.29 -1.72 -0.01 0.6 NA NA 56.89
1980039 1980 02 08 86.91 8.71 -0.82 -0.01 1.38 NA NA 58.2
1980040 1980 02 09 90.55 8.9 -1.01 -0.01 1.47 NA NA 53.27
1980041 1980 02 10 112.48 7.16 -1.29 -0.01 1.3 NA NA 50.73
1980042 1980 02 11 111.77 8.65 -2.2 -0.01 1.3 NA NA 47.18
1980043 1980 02 12 51.01 9.6 -0.81 0 2.4 NA NA 59.5
1980044 1980 02 13 33.11 11.11 5.23 6.53 6.61 NA NA 79.65
1980045 1980 02 14 33.22 11.2 3.9 3.35 6 NA NA 76.95
1980046 1980 02 15 71.86 5.6 0.8 -0.01 5.16 NA NA 44.39
1980047 1980 02 16 98.55 4.17 -1.59 -0.01 3.17 NA NA 41.57
1980048 1980 02 17 42.82 5.88 -1.82 0.21 2.1 NA NA 68.89
1980049 1980 02 18 118.92 11 4 -0.01 4 NA NA 57.47
1980050 1980 02 19 75.36 7.3 1 2.06 4.9 NA NA 68.56
1980051 1980 02 20 82.34 5.01 -0.04 1.6 3.11 NA NA 68.11
1980052 1980 02 21 91.47 4.36 -0.6 6.23 3.11 NA NA 73.79
1980053 1980 02 22 65.72 3.89 -1.55 1.3 5.4 NA NA 59.5
1980054 1980 02 23 83.42 3.2 -2.71 -0.01 4 NA NA 55.67
1980055 1980 02 24 92.12 1.79 -3.65 -0.01 3.5 NA NA 53.42
1980056 1980 02 25 121.68 0.64 -4.72 -0.01 2.6 NA NA 43.66
1980057 1980 02 26 117.23 0.84 -5.12 -0.01 0.9 NA NA 43.12
1980058 1980 02 27 129.6 2.62 -4.61 0.29 2.3 NA NA 44.55
1980059 1980 02 28 42.76 5.17 -0.51 6.99 4.3 NA NA 80.98
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 66.24 8.9 3.72 0.8 4 NA NA 74.35
1980062 1980 03 02 56.74 11.02 1.12 3 3.41 NA NA 67.77
1980063 1980 03 03 79.42 12.8 6.25 0 3.33 NA NA 71.32
1980064 1980 03 04 83.37 16.02 6.42 0 3.09 NA NA 57.07
1980065 1980 03 05 136.51 16.73 6.8 -0.01 4 NA NA 44.29
1980066 1980 03 06 109.88 16.61 8.61 -0.01 5.5 NA NA 44.97
1980067 1980 03 07 67 16.03 5 8 5.81 NA NA 45.6
1980068 1980 03 08 68.56 10.21 3.29 1.19 3.81 NA NA 60.92
1980069 1980 03 09 89.17 12.06 3.49 4.3 4.72 NA NA 63.7
1980070 1980 03 10 59.39 15.94 9.08 14.31 4.79 NA NA 78.23
1980071 1980 03 11 66.39 16.39 7.35 0.31 2.52 NA NA 69.46
1980072 1980 03 12 159.68 19.74 6.99 -0.01 2.09 NA NA 42.99
1980073 1980 03 13 184.2 20.06 7.8 -0.01 2.38 NA NA 38.28
1980074 1980 03 14 90.28 13.77 4.71 2.26 3.5 NA NA 62.91
1980075 1980 03 15 69.3 13.3 2.89 2.9 4 NA NA 60.54
1980076 1980 03 16 135.25 18.66 9.15 4.97 4.61 NA NA 47.9
1980077 1980 03 17 122.7 13.05 5 -0.01 2.3 NA NA 60.52
1980078 1980 03 18 121.57 12.59 3.1 -0.01 1.9 NA NA 48.47
1980079 1980 03 19 99.08 14.3 1.8 0 2.38 NA NA 54.5
1980080 1980 03 20 141.19 20.97 9.31 0.39 2.7 NA NA 46.71
1980081 1980 03 21 79.81 17.1 10.5 0.89 2.09 NA NA 79.34
1980082 1980 03 22 126.22 15.89 8.55 1.7 3.42 NA NA 54.5
1980083 1980 03 23 83.18 10.9 5.9 3.73 4.83 NA NA 62.88
1980084 1980 03 24 112.55 12.3 4.19 3.49 3.09 NA NA 54.26
1980085 1980 03 25 162.07 14.2 2.3 -0.01 1.89 NA NA 50.71
1980086 1980 03 26 199.19 15.23 -0.23 -0.01 1.1 NA NA 31.85
1980087 1980 03 27 200.26 15.69 1.18 -0.01 2.29 NA NA 30.87
1980088 1980 03 28 207.52 12.6 1.2 -0.01 3.5 NA NA 30.7
1980089 1980 03 29 210.61 16.61 2.57 2.05 4.32 NA NA 30.27
1980090 1980 03 30 68.67 13.8 8.65 1.92 3.2 NA NA 81.06
1980091 1980 03 31 201.79 17.74 5.31 0 2.3 NA NA 46.45
1980092 1980 04 01 98.32 15.3 6.3 7.73 3.3 NA NA 61.35
1980093 1980 04 02 171.24 15.53 4.71 1.19 3.71 NA NA 46.57
1980094 1980 04 03 148.6 13.81 6.2 1.21 3.8 NA NA 53.93
1980095 1980 04 04 126.13 9.39 0.98 1.4 3.5 NA NA 51.23
1980096 1980 04 05 173.37 9.9 -1.1 -0.01 2.1 NA NA 32.49
1980097 1980 04 06 228.15 14.3 1.49 -0.01 2.19 NA NA 35.24
