*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: UC - Method: EQMs - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 96.16 10.62 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 20.83 6.07 -0.76 2.71 4.8 NA NA 68.2
1980002 1980 01 02 21.56 5.1 1.1 0 4.6 NA NA 82.41
1980003 1980 01 03 5.69 11 -0.53 17.09 4.16 NA NA 52.76
1980004 1980 01 04 20.83 11 9.44 0 4.5 NA NA 88.86
1980005 1980 01 05 32.41 9.9 6.5 0 2.8 NA NA 84.8
1980006 1980 01 06 26.51 11 6.1 0 2 NA NA 77.81
1980007 1980 01 07 23.52 12 6.49 1.1 4.8 NA NA 77.2
1980008 1980 01 08 26.62 11.3 8.51 0 5.5 NA NA 79.8
1980009 1980 01 09 9.26 11.2 9.3 2.5 5.7 NA NA 90.05
1980010 1980 01 10 56.71 9.8 5.9 2.2 3.6 NA NA 64.98
1980011 1980 01 11 19.68 10.1 6.5 0 4.7 NA NA 83.81
1980012 1980 01 12 20.83 7.8 5.5 0 3.8 NA NA 87.6
1980013 1980 01 13 9.26 9.2 7.1 6.7 1.6 NA NA 91.23
1980014 1980 01 14 21.99 9.78 7.8 0 2.6 NA NA 90.39
1980015 1980 01 15 11.57 10.41 7.01 5.4 3 NA NA 91.5
1980016 1980 01 16 26.56 6.7 2.54 0 1.69 NA NA 41.87
1980017 1980 01 17 18.52 9.2 3 1.2 2.2 NA NA 77.72
1980018 1980 01 18 57.87 4.5 -3.59 0 4.4 NA NA 41.11
1980019 1980 01 19 59.03 -1.16 -5.1 0 1.3 NA NA 64.86
1980020 1980 01 20 57.87 -1.5 -5.49 0 1.7 NA NA 63.04
1980021 1980 01 21 57.99 -0.6 -7.2 0 1.6 NA NA 65.29
1980022 1980 01 22 45.14 0.28 -5.04 0 0.22 NA NA 89.12
1980023 1980 01 23 56.71 -0.03 -6.6 0 1.1 NA NA 79.45
1980024 1980 01 24 63.66 0.77 -7.22 0 1.66 NA NA 72.89
1980025 1980 01 25 66.06 -3.44 -8.85 0 1 NA NA 69.85
1980026 1980 01 26 61.34 -3.44 -10.31 0 1.61 NA NA 65.5
1980027 1980 01 27 67.13 0.39 -7.42 0 3.4 NA NA 76.5
1980028 1980 01 28 47.45 1.4 -5.05 0 1.4 NA NA 85.7
1980029 1980 01 29 65.97 1.9 -7.63 0 1.39 NA NA 81.49
1980030 1980 01 30 74.07 1.9 -7.9 0 1.3 NA NA 59.31
1980031 1980 01 31 76.39 2.91 -3.65 0 3.2 NA NA 67.41
1980032 1980 02 01 69.44 4 0.7 0 4.21 NA NA 85.29
1980033 1980 02 02 79.97 7.8 1.9 1.8 5.5 NA NA 73.9
1980034 1980 02 03 46.3 11.6 7.56 2.5 5 NA NA 80
1980035 1980 02 04 34.72 9.9 7.8 4.3 7.7 NA NA 87.8
1980036 1980 02 05 74.07 10.28 6.52 0 5.4 NA NA 65
1980037 1980 02 06 24.31 9.9 6.13 6 6.25 NA NA 76.91
1980038 1980 02 07 28.94 13 6 5.88 5.2 NA NA 78.31
1980039 1980 02 08 83.33 10.62 3.26 1.4 5.3 NA NA 56.15
1980040 1980 02 09 49.77 9.9 6.51 0 5.8 NA NA 72.41
1980041 1980 02 10 40.51 9.12 2.8 2.9 7 NA NA 44.69
1980042 1980 02 11 74.07 9.9 2.3 4.51 5.7 NA NA 59.82
1980043 1980 02 12 46.3 10 4.31 1.1 7.69 NA NA 57.23
1980044 1980 02 13 67.13 7.6 4.4 1.2 8.1 NA NA 50.04
1980045 1980 02 14 48.61 8.2 3.9 3.2 6.4 NA NA 75.82
1980046 1980 02 15 40.51 10.1 5.49 1.5 7.4 NA NA 53.09
1980047 1980 02 16 70.6 8.7 4.3 0 4.5 NA NA 56.71
1980048 1980 02 17 85.65 7.8 0.98 0 2 NA NA 63.05
1980049 1980 02 18 77.55 5.52 -0.55 0 3 NA NA 60.71
1980050 1980 02 19 112.27 5.6 -3.51 0 1.62 NA NA 46.8
1980051 1980 02 20 98.38 5.95 -0.23 0 3.4 NA NA 44.96
1980052 1980 02 21 40.51 6.8 -0.3 1.73 3.2 NA NA 61.55
1980053 1980 02 22 37.12 9.5 1.87 2.8 4.7 NA NA 61.34
1980054 1980 02 23 78.7 8.98 2.28 0 3.87 NA NA 54.3
1980055 1980 02 24 103.01 14.6 4.5 0 6.1 NA NA 46.56
1980056 1980 02 25 110.12 12.56 8.1 0 4.4 NA NA 64.5
1980057 1980 02 26 98.49 14.8 4.2 0 4 NA NA 59.98
1980058 1980 02 27 25.75 11.5 9.93 4.6 3.45 NA NA 90.98
1980059 1980 02 28 37.62 13.32 8.9 2.4 3.1 NA NA 81.3
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 43.98 6.2 3.7 2.2 4.4 NA NA 75.69
1980062 1980 03 02 50.93 7.8 3.03 4.08 4.3 NA NA 74.1
1980063 1980 03 03 105.71 10.5 1.7 0 1.4 NA NA 53.01
1980064 1980 03 04 65.97 9.7 3.4 0 2.6 NA NA 56.8
1980065 1980 03 05 98.38 11.4 3.41 0 2 NA NA 52.2
1980066 1980 03 06 116.9 10.2 0.7 0 3.02 NA NA 54.24
1980067 1980 03 07 123.84 10.33 -0.81 0 1.8 NA NA 48.14
