*WEATHER DATA - Station:Martonvásár - BADJAM DATA - BADJer: ECCC - Method: MBCp - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Martonvásár 47.35 18.81 135 8.39 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 19.04 -2.06 -14.21 4.97 2.88 NA NA 63.7
1980002 1980 01 02 35.76 -0.5 -6.16 0 5.29 NA NA 78.27
1980003 1980 01 03 64.21 -2.03 -6.76 0 6.67 NA NA 74.77
1980004 1980 01 04 68.42 -3.55 -11.78 0 3.27 NA NA 66.18
1980005 1980 01 05 59.03 -7.44 -18.2 0 4.07 NA NA 72.8
1980006 1980 01 06 71.28 -9.66 -21.42 0 1.54 NA NA 76.18
1980007 1980 01 07 57.8 -10.12 -24.7 0 1.64 NA NA 45.36
1980008 1980 01 08 33.03 -6.5 -13.14 1.27 1.86 NA NA 61.87
1980009 1980 01 09 48.68 -2.93 -14.62 0 2.41 NA NA 58.77
1980010 1980 01 10 22.24 0.22 -7.78 4.84 3.84 NA NA 79
1980011 1980 01 11 30.89 -0.13 -9.14 0.44 2.15 NA NA 70.79
1980012 1980 01 12 68.41 -3.19 -9.49 0 5.71 NA NA 76.66
1980013 1980 01 13 57.95 -7.68 -13.88 0 3.24 NA NA 72.59
1980014 1980 01 14 77.34 -6.3 -15.6 0 1.23 NA NA 65
1980015 1980 01 15 50.26 -10.71 -21.79 0 0.95 NA NA 67.28
1980016 1980 01 16 60.04 -8.68 -21.62 0 1.44 NA NA 63.02
1980017 1980 01 17 52.55 -3.5 -13.83 0 2.61 NA NA 59.79
1980018 1980 01 18 25.99 -0.15 -6 2.41 1.23 NA NA 81.66
1980019 1980 01 19 46.37 1.95 -6.9 0 1.64 NA NA 82.24
1980020 1980 01 20 60.68 2.36 -7.63 0 2.14 NA NA 74.69
1980021 1980 01 21 68.01 2.34 -7.91 0 3.06 NA NA 66.39
1980022 1980 01 22 28.5 1.85 -8.4 0.47 3.56 NA NA 71.32
1980023 1980 01 23 68.18 3.31 -3.1 0 5.4 NA NA 73.81
1980024 1980 01 24 44.4 3.22 -3.43 0.3 5.03 NA NA 72.81
1980025 1980 01 25 68.51 2.83 -2.2 0 3.89 NA NA 77.18
1980026 1980 01 26 64.08 2.85 -5.2 0.9 3.27 NA NA 77.07
1980027 1980 01 27 29.1 3.05 -3.54 0 5.63 NA NA 78.88
1980028 1980 01 28 70.57 -1.01 -6.63 0 5.61 NA NA 44.95
1980029 1980 01 29 81.58 -0.67 -7.71 0 5.96 NA NA 46.37
1980030 1980 01 30 78.55 -1.87 -8.9 0 4.49 NA NA 49.42
1980031 1980 01 31 95.27 -3.12 -10.76 0 2.07 NA NA 45.9
1980032 1980 02 01 89.56 -1.86 -12.31 0.67 1.8 NA NA 48.23
1980033 1980 02 02 101.59 1.99 -6.02 0.3 4.89 NA NA 70.25
1980034 1980 02 03 82.68 -2.96 -11.61 0 4.78 NA NA 48.28
1980035 1980 02 04 91.59 -5.98 -16.4 0 2.27 NA NA 58.18
1980036 1980 02 05 59.77 -1.31 -12.75 0.94 3.97 NA NA 53.11
1980037 1980 02 06 97.03 -3.47 -14.34 0 4.15 NA NA 45.33
1980038 1980 02 07 97.56 -5.98 -16.57 0 3.76 NA NA 60.68
1980039 1980 02 08 101.18 -7.96 -18.51 0 1.98 NA NA 66.1
1980040 1980 02 09 91.3 -5.13 -15.99 0 2.47 NA NA 51.75
1980041 1980 02 10 109.74 -6.53 -16.74 0 1.76 NA NA 71.03
1980042 1980 02 11 102.71 -5.27 -16.59 0 2.16 NA NA 55.36
1980043 1980 02 12 45.22 -4.76 -12.14 9.98 3.03 NA NA 67.72
1980044 1980 02 13 62.11 -1.1 -7.5 1.85 3.7 NA NA 73.19
1980045 1980 02 14 117.13 -5.2 -17.32 0 5.29 NA NA 51.11
1980046 1980 02 15 120.37 -8.77 -19.59 0 5.76 NA NA 60.57
1980047 1980 02 16 119.27 -8.97 -20.77 0 3.39 NA NA 58.87
1980048 1980 02 17 117.23 -9.09 -23.37 0 2.19 NA NA 52.24
1980049 1980 02 18 134.43 -9.96 -25.17 0 2.3 NA NA 54.99
1980050 1980 02 19 124.86 0.63 -18.95 0 5.2 NA NA 37.26
1980051 1980 02 20 112.09 0.74 -8.31 0 5.68 NA NA 71.69
1980052 1980 02 21 163.15 -7.91 -13.13 5.43 0.86 NA NA 85.74
1980053 1980 02 22 128.54 0 -6.08 0.22 2.3 NA NA 81.45
1980054 1980 02 23 134.73 6.69 -1.26 0 3 NA NA 62.93
1980055 1980 02 24 134.69 5.19 -3.06 0 3.51 NA NA 61.7
1980056 1980 02 25 105.37 7.51 -0.16 0 5.3 NA NA 52.9
1980057 1980 02 26 66.74 -0.28 -7.67 0 5.12 NA NA 78.83
1980058 1980 02 27 56.54 -0.62 -7.75 0.34 2.95 NA NA 81.95
1980059 1980 02 28 139.41 3.77 -3.57 0 2.1 NA NA 55.1
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 158.2 2.01 -6.72 0 1.81 NA NA 53.7
1980062 1980 03 02 160.13 2.77 -6.18 0 2.06 NA NA 48
1980063 1980 03 03 51.94 -0.58 -7.54 4.89 4.05 NA NA 76.6
1980064 1980 03 04 61.08 -1.31 -7.66 0 2.58 NA NA 83.45
1980065 1980 03 05 135.99 2.52 -3.51 0 3.79 NA NA 63.23
1980066 1980 03 06 143.38 3.69 -1.68 0 4.75 NA NA 54.9
1980067 1980 03 07 135.58 8.49 -0.21 0 2.08 NA NA 37.07
1980068 1980 03 08 143.03 6.74 -1.7 0 3.72 NA NA 32.38
1980069 1980 03 09 151.49 7.44 -2.89 0.76 2.89 NA NA 38.31
1980070 1980 03 10 154.37 5.93 -2.59 0 2.77 NA NA 48.31
1980071 1980 03 11 102.36 11.95 0.32 1.84 4.69 NA NA 39.94
1980072 1980 03 12 161.93 6.93 -2.11 1.01 3.72 NA NA 34.98
1980073 1980 03 13 151.83 11.65 2.07 0 4.67 NA NA 42.42
1980074 1980 03 14 124.03 8.72 -0.5 0 3.1 NA NA 57.5
1980075 1980 03 15 89.21 7.94 -1.57 0 1.39 NA NA 62.43
1980076 1980 03 16 176.53 15.62 0.46 0 1.78 NA NA 43.73
1980077 1980 03 17 173.05 19.25 2.49 0 3.1 NA NA 40.29
1980078 1980 03 18 174.51 19.62 5.58 0 3.58 NA NA 42.97
1980079 1980 03 19 80.45 15.4 5.35 9.76 1.85 NA NA 56.9
1980080 1980 03 20 176.6 12.93 2.99 0 4.21 NA NA 36.07
1980081 1980 03 21 151.72 8.41 -1.39 0.22 2.06 NA NA 41.53
1980082 1980 03 22 180.1 19.1 3.35 0 3.94 NA NA 42.51
1980083 1980 03 23 181.1 17.62 4.97 0 2.35 NA NA 51.61
1980084 1980 03 24 92.07 14.94 4.31 1.87 4.86 NA NA 57.42
1980085 1980 03 25 179.76 11.31 -0.9 0 3.89 NA NA 45.75
1980086 1980 03 26 89.1 6.03 -1.49 0.32 3.17 NA NA 47.57
1980087 1980 03 27 192.77 7.9 -2.82 0 0.87 NA NA 37.63
1980088 1980 03 28 73.48 1.08 -4.42 2.46 2.85 NA NA 74.37
1980089 1980 03 29 171.25 11.13 0.46 0 3.76 NA NA 35.96
1980090 1980 03 30 188.01 7.83 -2.04 0 1.71 NA NA 34.68
1980091 1980 03 31 195.07 9.75 -2.45 0 0.47 NA NA 28.62
1980092 1980 04 01 202.16 8.77 -2.41 0 1.59 NA NA 31.19
1980093 1980 04 02 198.98 11.16 -1.95 0 2.16 NA NA 31.15
1980094 1980 04 03 190.77 11.9 -0.99 0 2.46 NA NA 26.2
1980095 1980 04 04 187.88 10.3 -1.22 0 1.72 NA NA 28.7
1980096 1980 04 05 202.39 12.9 -2.54 0 2.22 NA NA 32.32
1980097 1980 04 06 203.97 16.82 1.06 0 5.1 NA NA 32.32
1980098 1980 04 07 56.77 13.18 6.91 9.02 4.2 NA NA 67.17
1980099 1980 04 08 53.81 13.12 5.1 2 2.87 NA NA 63.07
1980100 1980 04 09 182.59 15.51 5.42 0 1.18 NA NA 54.75
1980101 1980 04 10 130.32 13.53 1 0.58 1.66 NA NA 54.81
1980102 1980 04 11 173.44 13.43 0.85 0 3.8 NA NA 44.42
1980103 1980 04 12 166.42 12.79 -1.7 0 1.08 NA NA 37.76
1980104 1980 04 13 227.82 16.08 1.12 0 2.23 NA NA 31.66
1980105 1980 04 14 241.63 17.25 1.76 0 3.75 NA NA 28.29
1980106 1980 04 15 253.41 19.04 3.98 0 4.16 NA NA 30.44
1980107 1980 04 16 228.52 19.55 4.02 0 3.08 NA NA 37.31
1980108 1980 04 17 160.01 18.13 6.49 0.74 0.96 NA NA 51.71
1980109 1980 04 18 108.51 15.86 5.53 2.83 2.36 NA NA 61.12
1980110 1980 04 19 125.16 15 3.86 2.77 3.37 NA NA 56.67
1980111 1980 04 20 138.83 16 1.99 1.49 3.98 NA NA 43.82
1980112 1980 04 21 180.95 16.75 3.78 0.37 3.1 NA NA 48.94
1980113 1980 04 22 129.07 15.18 3.75 5.39 3.09 NA NA 52.21
1980114 1980 04 23 225.31 18.75 3.95 0 1.11 NA NA 46.87
1980115 1980 04 24 224.45 20.57 5.69 0 0.91 NA NA 37.87
1980116 1980 04 25 243.7 21.86 5.7 0 1.11 NA NA 35.87
1980117 1980 04 26 275.17 22.93 8.97 0 4.07 NA NA 36.92
1980118 1980 04 27 103.06 14.49 8.86 4.29 3.51 NA NA 66.72
1980119 1980 04 28 87 12.97 6.57 2.81 3.27 NA NA 86.21
1980120 1980 04 29 110.62 15.76 7.49 0.36 0.96 NA NA 69.74
1980121 1980 04 30 265.8 24.22 9.98 0.87 2.9 NA NA 48.89
1980122 1980 05 01 291.3 23.46 10.18 0 1.93 NA NA 44.01
1980123 1980 05 02 165.14 20.52 10.45 0 1.63 NA NA 48.7
1980124 1980 05 03 269.87 20.89 8.1 0 2.04 NA NA 33.44
1980125 1980 05 04 259.51 20.79 7.78 0 2.25 NA NA 36.03
1980126 1980 05 05 135.98 16.34 9.04 0.06 1.92 NA NA 55.33
1980127 1980 05 06 192.33 18.75 10.05 0.08 2.31 NA NA 55.63
1980128 1980 05 07 151.59 19.37 10.86 0.08 1.85 NA NA 55.81
1980129 1980 05 08 192.66 20.83 11.45 0 0.95 NA NA 45.81
1980130 1980 05 09 213.89 21.04 11.45 0 1.81 NA NA 44.3
1980131 1980 05 10 193.59 21.61 11.77 0 2.44 NA NA 41.81
1980132 1980 05 11 205.41 21.46 10.25 0 2.31 NA NA 44.8
1980133 1980 05 12 70 18.77 9.54 1.9 0.92 NA NA 66.45
1980134 1980 05 13 159.5 21.68 10.16 1.72 1.43 NA NA 56.69
1980135 1980 05 14 198.02 22.24 10.3 1.55 2.07 NA NA 53.83
1980136 1980 05 15 267.98 24.1 11.1 0 1.97 NA NA 45.99
1980137 1980 05 16 141.2 21.67 12.25 2.76 1.55 NA NA 60.66
1980138 1980 05 17 304.65 24.65 11.53 0.17 2.23 NA NA 44.58
1980139 1980 05 18 249.49 23.44 9.6 1.72 1.73 NA NA 44.71
1980140 1980 05 19 197.4 22.29 8.69 0.81 2.58 NA NA 51.19
1980141 1980 05 20 161.52 21.25 12.92 6.73 3.89 NA NA 64.57
1980142 1980 05 21 131.6 21.12 12.9 12.59 1.42 NA NA 60.22
1980143 1980 05 22 55.79 20.28 12.16 14.31 0.45 NA NA 65.21
1980144 1980 05 23 277.81 24.59 11.87 0.96 2.53 NA NA 41.12
1980145 1980 05 24 240.95 22.78 9.06 1.26 1.72 NA NA 48
1980146 1980 05 25 235.39 22.56 9 1.18 3.5 NA NA 54.9
1980147 1980 05 26 55.92 19.22 11.36 5.4 2.4 NA NA 69.58
1980148 1980 05 27 249.43 24.8 12.99 4.05 3.72 NA NA 49.35
1980149 1980 05 28 227.71 23.49 13.9 2.39 2.64 NA NA 54.7
1980150 1980 05 29 263.28 23.07 11.91 0 2.74 NA NA 44.8
1980151 1980 05 30 339.97 25.08 10.51 0 1.11 NA NA 36.52
1980152 1980 05 31 301.19 28.48 13.59 0.99 2.76 NA NA 40.09
1980153 1980 06 01 289.72 28.43 17.08 0 3.29 NA NA 41.18
1980154 1980 06 02 261.8 26.82 14.8 0.55 2.53 NA NA 44.49
1980155 1980 06 03 257.55 25.63 13.96 0.4 3.38 NA NA 43.31
1980156 1980 06 04 235.74 24.46 10.15 3.64 3.6 NA NA 41.31
1980157 1980 06 05 256.72 23.84 11.78 0.45 3.7 NA NA 45.49
1980158 1980 06 06 251.83 20.86 9.16 0 2.34 NA NA 44.77
1980159 1980 06 07 189.35 15.83 6.41 0 2.63 NA NA 43.06
1980160 1980 06 08 130.63 17.41 8.87 2.21 2.62 NA NA 57.36
1980161 1980 06 09 211.01 20.1 9.5 0 4.74 NA NA 42.15
1980162 1980 06 10 255.52 16.21 6.42 0 2.56 NA NA 27.34
1980163 1980 06 11 115.6 15.77 4.56 1.67 4.54 NA NA 34.76
1980164 1980 06 12 245.17 20.09 8.86 0 2.25 NA NA 48.3
1980165 1980 06 13 321.17 21.05 8.62 1.1 2.97 NA NA 40.23
1980166 1980 06 14 240.77 16.09 6.59 0 3.14 NA NA 49.36
1980167 1980 06 15 341.23 22.3 7.68 0 2.72 NA NA 26.45
1980168 1980 06 16 273.72 22.47 7.47 0 2.25 NA NA 36.58
1980169 1980 06 17 249.19 22.98 11.1 0 2.45 NA NA 44.27
1980170 1980 06 18 253.97 24.79 8.92 0 1.27 NA NA 43.72
1980171 1980 06 19 131.16 17.68 14.22 25.31 2.55 NA NA 92.07
1980172 1980 06 20 300.14 27.6 15.56 0.3 2.55 NA NA 44.85
1980173 1980 06 21 301.07 27.72 16.64 0 2.93 NA NA 40.87
1980174 1980 06 22 251.99 25.78 14.34 4.3 2.73 NA NA 42.61
1980175 1980 06 23 195.15 21.51 12.39 9.73 3.74 NA NA 61.46
1980176 1980 06 24 323.54 24.72 11.36 0 2.62 NA NA 38.67
1980177 1980 06 25 237.03 23.05 8.46 4.83 2.45 NA NA 34.07
1980178 1980 06 26 196.75 21.54 12.66 1.35 2.48 NA NA 56.96
1980179 1980 06 27 276.62 19.99 9.71 0.15 3.66 NA NA 51.52
1980180 1980 06 28 84.63 17.24 7.1 4.72 3.8 NA NA 50.37
1980181 1980 06 29 252.54 23.96 12.48 0 3.05 NA NA 45.37
1980182 1980 06 30 55.47 14.31 11.11 22.45 2.19 NA NA 78.07
1980183 1980 07 01 291.09 22.22 11.48 0.53 3.25 NA NA 39.23
1980184 1980 07 02 169.47 20.36 8.9 3.2 3.36 NA NA 48.41
1980185 1980 07 03 303.22 25.76 12.19 0 1.85 NA NA 39.37
1980186 1980 07 04 123.95 20 12.81 4.26 2.83 NA NA 71.93
1980187 1980 07 05 226.02 24.56 12.99 4.7 3.04 NA NA 57.1
1980188 1980 07 06 218.58 25.39 13.09 0 2.81 NA NA 56.4
1980189 1980 07 07 169.72 23.63 12.74 3.01 3.51 NA NA 48.69
1980190 1980 07 08 275.19 25.85 14 0.32 2.45 NA NA 41.19
1980191 1980 07 09 245.4 26.17 13.03 1.8 1.3 NA NA 53.84
1980192 1980 07 10 211.48 23.87 9.78 0 1.53 NA NA 37.65
1980193 1980 07 11 290.01 28.91 14.11 0.24 1.95 NA NA 43.54
1980194 1980 07 12 236.07 27.61 15.38 6.26 2.92 NA NA 40.09
1980195 1980 07 13 149.25 22.87 16.48 22.38 2.91 NA NA 64.94
1980196 1980 07 14 245.99 26.46 15.16 3.26 3.02 NA NA 54.77
1980197 1980 07 15 180.59 24.44 11.98 3.32 1.84 NA NA 48.25
1980198 1980 07 16 309.14 27.71 14.99 1.3 1.84 NA NA 42.14
1980199 1980 07 17 104.18 20.66 13.05 18.97 1.82 NA NA 64.23
1980200 1980 07 18 290.28 26.6 14.4 0 2.57 NA NA 42.07
1980201 1980 07 19 126.38 22.71 9.86 6.21 3 NA NA 47.96
1980202 1980 07 20 200.3 25.38 14.26 1.88 0.89 NA NA 57.71
1980203 1980 07 21 48.9 21.11 14.83 7.15 2.41 NA NA 86.65
1980204 1980 07 22 49.29 17.37 10.96 4.74 4.02 NA NA 72.78
1980205 1980 07 23 204.82 19.24 11.09 0 3.4 NA NA 44.66
1980206 1980 07 24 286.51 23.83 10.3 0 2.64 NA NA 34.9
1980207 1980 07 25 232.28 24.93 12.4 4.74 2.94 NA NA 44.12
1980208 1980 07 26 231.39 22.54 12.06 0 3.06 NA NA 56.23
1980209 1980 07 27 213.69 20.37 7.47 3.71 2.95 NA NA 40.25
1980210 1980 07 28 248.82 25.27 10.75 0 1.29 NA NA 46.94
1980211 1980 07 29 268.16 25.5 12.86 1.13 2.01 NA NA 43.89
1980212 1980 07 30 287.79 26.3 13.88 0 2.51 NA NA 42.68
1980213 1980 07 31 271.61 28.89 14.12 0 3.47 NA NA 33.19
1980214 1980 08 01 267.9 30.74 16.08 0 3.57 NA NA 32.51
1980215 1980 08 02 46.75 18.52 12.49 19.53 3.94 NA NA 74.11
1980216 1980 08 03 199.03 23.58 14.3 0 2.94 NA NA 50.39
1980217 1980 08 04 255.4 27.3 12.74 0 0.89 NA NA 44.27
1980218 1980 08 05 209.56 27.91 12.34 0.44 2.11 NA NA 42.74
1980219 1980 08 06 205.51 28.91 16.01 2.58 2.72 NA NA 36.78
1980220 1980 08 07 96.8 24.84 12.62 3.21 1.76 NA NA 57.05
1980221 1980 08 08 172.37 25.74 16.85 0.21 2.09 NA NA 63.77
1980222 1980 08 09 162.78 25.1 16.27 0 1.81 NA NA 58.37
1980223 1980 08 10 181.32 26.44 15.46 0 1 NA NA 58.9
1980224 1980 08 11 190.61 27.79 15.35 0 0.49 NA NA 50.85
1980225 1980 08 12 269.8 31.6 16.98 0 0.66 NA NA 40.95
1980226 1980 08 13 255.8 31.3 17.24 0 0.89 NA NA 42.26
1980227 1980 08 14 143.06 26.03 15.77 0 2.97 NA NA 55.9
1980228 1980 08 15 263.16 28.94 14.62 0 0.79 NA NA 41.29
1980229 1980 08 16 257.07 29.68 12.94 0 1.3 NA NA 34.31
1980230 1980 08 17 255.8 30.86 15.04 0 1.1 NA NA 31.5
1980231 1980 08 18 156.51 25.64 14.79 2.35 2.32 NA NA 59.11
1980232 1980 08 19 230.06 25.85 14.8 0 2.31 NA NA 45.39
1980233 1980 08 20 234.59 23.87 12.48 0 1.53 NA NA 41.52
1980234 1980 08 21 208.69 21.81 12.28 0 2.69 NA NA 43.72
1980235 1980 08 22 238.21 24.68 10.52 0 2.1 NA NA 39.04
1980236 1980 08 23 204.72 23.77 12.55 0 2.22 NA NA 45.05
1980237 1980 08 24 248.79 24.03 10.04 0 1.1 NA NA 33.08
1980238 1980 08 25 246.06 24.56 8.61 0 2.3 NA NA 29.78
1980239 1980 08 26 242.31 24.61 10.19 0 2.97 NA NA 29.54
1980240 1980 08 27 234.12 26.33 11.64 0 2.89 NA NA 31.97
1980241 1980 08 28 231.78 29.11 14.75 0 2.78 NA NA 32.85
1980242 1980 08 29 219.27 29.7 17.31 0 1.7 NA NA 38.04
1980243 1980 08 30 230.56 29.75 15.65 0 1.08 NA NA 32.73
1980244 1980 08 31 139.88 25.69 13.09 2.62 1.07 NA NA 39.72
1980245 1980 09 01 97.38 24.62 8.21 4.22 1.73 NA NA 35.28
1980246 1980 09 02 233.86 29.63 15 0 0.99 NA NA 38.51
1980247 1980 09 03 112.72 24.65 10.55 1.89 2.11 NA NA 43.22
1980248 1980 09 04 236.65 25.73 14.66 6.37 2.78 NA NA 44.45
1980249 1980 09 05 225.56 23.72 8.41 0 1.37 NA NA 30.2
1980250 1980 09 06 217.19 25.87 9.04 0 1 NA NA 32.51
1980251 1980 09 07 215.54 27.57 11.58 0 1.27 NA NA 30.41
1980252 1980 09 08 209.29 29.75 14.13 0 1.6 NA NA 30.37
1980253 1980 09 09 206.08 29.96 16.85 2.43 0.6 NA NA 41.46
1980254 1980 09 10 186.93 28.08 15.69 0 0.29 NA NA 41.24
1980255 1980 09 11 205.57 28.05 15.3 0 1.56 NA NA 32.85
1980256 1980 09 12 207.85 25.67 12.57 0 2.31 NA NA 23.2
1980257 1980 09 13 209.71 23.12 10.23 0 2.71 NA NA 22.31
1980258 1980 09 14 185.02 22.13 8.77 0 1.38 NA NA 28.99
1980259 1980 09 15 167.59 22.43 8.37 2.79 3.09 NA NA 27.13
1980260 1980 09 16 70.55 15.97 9.49 3.22 2.98 NA NA 74.95
1980261 1980 09 17 133.5 18.87 8.67 0 3.52 NA NA 46.14
1980262 1980 09 18 136.72 20.58 9.33 0 2.81 NA NA 37.98
1980263 1980 09 19 99.5 17.07 6.17 0 2.15 NA NA 47.9
1980264 1980 09 20 106.58 19.69 8.02 0 1.9 NA NA 42.44
1980265 1980 09 21 187.31 25.21 9.62 0 3.2 NA NA 28.61
1980266 1980 09 22 37.54 17.48 8.52 7.71 3.43 NA NA 57.14
1980267 1980 09 23 200.85 25.6 8.96 0 2.38 NA NA 32.35
1980268 1980 09 24 96.61 21.89 11.08 1.63 2.81 NA NA 43.37
1980269 1980 09 25 158.59 23.82 11.28 0 1.92 NA NA 42.17
1980270 1980 09 26 115.3 22.5 11.07 0 2.13 NA NA 39.63
1980271 1980 09 27 102.04 22.85 10.59 3.56 2.89 NA NA 43.36
1980272 1980 09 28 89.26 22.91 13.95 5.2 2.51 NA NA 57.21
1980273 1980 09 29 82.18 20.36 12.51 12.57 1.88 NA NA 71.9
1980274 1980 09 30 71.74 17.7 7.94 0 4.5 NA NA 56.95
1980275 1980 10 01 143.71 21.16 7.04 1.28 3.42 NA NA 39.63
1980276 1980 10 02 133.68 19.61 8.5 0 2 NA NA 45.44
1980277 1980 10 03 30.82 14.66 7.12 5.96 4.78 NA NA 51.77
1980278 1980 10 04 134.14 13.91 5.36 0 3.82 NA NA 34.28
1980279 1980 10 05 152.04 14.12 2.33 0 1.82 NA NA 34.73
1980280 1980 10 06 39.37 10.76 2.83 1.58 2.43 NA NA 62.06
1980281 1980 10 07 29.3 11.52 -0.76 9.09 4.32 NA NA 47.52
1980282 1980 10 08 143.31 14.46 1.58 0 5.3 NA NA 27.84
1980283 1980 10 09 138.52 12.86 0.36 0 4.81 NA NA 27.86
1980284 1980 10 10 73.49 11.22 2.91 0 3.52 NA NA 38.77
1980285 1980 10 11 140.03 17 3.42 0 3.41 NA NA 34.51
1980286 1980 10 12 84.92 19.55 10.41 1.1 3.52 NA NA 52.54
1980287 1980 10 13 55.74 21.61 10.95 0.98 3.19 NA NA 50.26
1980288 1980 10 14 77.22 19.91 9.48 1.47 2.78 NA NA 56.13
1980289 1980 10 15 36.72 9.81 3.42 12.86 1.81 NA NA 68.69
1980290 1980 10 16 51.39 10.87 2.89 3.51 4.2 NA NA 55.37
1980291 1980 10 17 40.36 12.71 4.79 4.1 2.22 NA NA 74.73
1980292 1980 10 18 54.02 15.37 5.1 1.16 2.22 NA NA 54.12
1980293 1980 10 19 111.26 16.44 4.78 0 1.51 NA NA 52.31
1980294 1980 10 20 44.18 17.69 9.6 4.89 4.8 NA NA 65.84
1980295 1980 10 21 61.19 20.33 11.35 4.01 3.91 NA NA 63.94
1980296 1980 10 22 123.41 20.77 10.39 1.01 2.69 NA NA 51.73
1980297 1980 10 23 115.71 17.97 8.72 0.41 1.38 NA NA 59.27
1980298 1980 10 24 107.77 12.63 4.1 0 2.46 NA NA 57.24
1980299 1980 10 25 105.95 14.14 4.76 0 2.08 NA NA 47.74
1980300 1980 10 26 37.15 14.87 5.69 6.07 3.38 NA NA 49.75
1980301 1980 10 27 104.6 13.16 2.69 0 2.46 NA NA 30.65
1980302 1980 10 28 113.36 17.19 6.31 0 3.38 NA NA 42.92
1980303 1980 10 29 98.16 17.56 7.16 0 2.73 NA NA 53.03
1980304 1980 10 30 94.68 18.42 6.68 0 2.37 NA NA 49.52
1980305 1980 10 31 59.64 17.12 5.55 0 0.69 NA NA 53.56
1980306 1980 11 01 47.25 17.55 7.54 0 0.25 NA NA 56.87
1980307 1980 11 02 74.27 16.32 5.17 0 1.09 NA NA 55.99
1980308 1980 11 03 86.2 13.93 3.32 0 2.19 NA NA 58.68
1980309 1980 11 04 35.29 8.3 0.84 1.71 1.19 NA NA 78.52
1980310 1980 11 05 85.89 9.54 -0.34 0 1.28 NA NA 60.66
1980311 1980 11 06 66.6 15.01 3.21 0 2.16 NA NA 41.7
1980312 1980 11 07 66 13.06 2.27 0 2.08 NA NA 54.02
1980313 1980 11 08 76.57 11.43 2.28 0 1.78 NA NA 58.64
1980314 1980 11 09 66.51 11.37 1.57 0 1.59 NA NA 54.63
1980315 1980 11 10 35.68 10.71 4.86 0 0.55 NA NA 66.55
1980316 1980 11 11 44.18 11.81 3.29 0 0.77 NA NA 60.43
1980317 1980 11 12 61.9 10.91 0.06 0 0.9 NA NA 53.92
1980318 1980 11 13 38.43 8.12 0.22 0.47 1.08 NA NA 75.48
1980319 1980 11 14 51.39 11.93 5.37 0.16 0.58 NA NA 73.55
1980320 1980 11 15 29.84 8.46 3.1 0 0.51 NA NA 78.58
1980321 1980 11 16 39.25 8.53 2.46 2.5 2.95 NA NA 70.23
1980322 1980 11 17 66.25 6.91 -0.94 0 1.9 NA NA 63.17
1980323 1980 11 18 36.13 5.57 0.02 0 2.1 NA NA 65.61
1980324 1980 11 19 64.75 4.59 -1.35 0 2.38 NA NA 45.65
1980325 1980 11 20 50.87 3.94 -1.46 0 3.28 NA NA 37.95
1980326 1980 11 21 71.15 3.73 -2.3 0 2.02 NA NA 25.62
1980327 1980 11 22 66.22 2.99 -3.69 0 2.2 NA NA 35.46
1980328 1980 11 23 62.86 2.51 -5.62 0 1.3 NA NA 39.23
1980329 1980 11 24 61.35 2.91 -6.61 0 0.94 NA NA 40.31
1980330 1980 11 25 61.73 3.28 -6.67 0 1.4 NA NA 38.7
1980331 1980 11 26 20.79 0.38 -6.68 0.68 1.31 NA NA 51.28
1980332 1980 11 27 24.33 2.62 -1.73 0.89 1.9 NA NA 90.72
1980333 1980 11 28 57.72 2.05 -5.06 0 4.1 NA NA 62.47
1980334 1980 11 29 68.09 -1.17 -6.56 0 2.83 NA NA 31.04
1980335 1980 11 30 22.8 -1.49 -6.61 1.56 2.53 NA NA 40.19
1980336 1980 12 01 50.2 0.2 -7.24 0 2.33 NA NA 71.35
1980337 1980 12 02 52.65 0.47 -7.29 0 4.1 NA NA 56.09
1980338 1980 12 03 41.15 1.23 -5.71 3.2 5.6 NA NA 68.66
1980339 1980 12 04 27.78 2.55 -1.57 2.38 1.71 NA NA 94.01
1980340 1980 12 05 43.77 2.32 -3.58 3.04 1.71 NA NA 81.98
1980341 1980 12 06 19.71 1.73 -4.17 6.03 3.11 NA NA 89.47
1980342 1980 12 07 45.49 1.02 -6.4 0.9 2.61 NA NA 79.18
1980343 1980 12 08 70.36 4.43 -6.45 0.6 3.46 NA NA 75.58
1980344 1980 12 09 44.64 0.28 -9.15 0 3.16 NA NA 71.84
1980345 1980 12 10 69.55 2.29 -2.71 0 5.91 NA NA 71.76
1980346 1980 12 11 20.01 0.36 -5.71 0 3.63 NA NA 72.17
1980347 1980 12 12 60.83 3.67 -2.23 0 3.63 NA NA 78.62
1980348 1980 12 13 33.15 1.71 -3.95 0 2.62 NA NA 82.46
1980349 1980 12 14 42.28 0.47 -6.48 0 2.81 NA NA 75.63
1980350 1980 12 15 23.6 1.2 -6.59 0.84 2.52 NA NA 80.31
1980351 1980 12 16 22.37 5 1.95 0.76 3.9 NA NA 93.41
1980352 1980 12 17 30.59 2.23 -1.57 0.33 4.01 NA NA 66.32
1980353 1980 12 18 42.04 2.1 -3.34 0 4.85 NA NA 66.57
