*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 740 16.4 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 128.63 12.78 2.07 0.48 3.97 NA NA 45.78
1980002 1980 01 02 134.79 16.81 5.42 0 1.76 NA NA 32.39
1980003 1980 01 03 77.18 11.17 4.51 9.44 4.6 NA NA 88.33
1980004 1980 01 04 142.62 20.76 4.81 0 0.83 NA NA 23.36
1980005 1980 01 05 114.09 17.45 4.74 0 3.32 NA NA 40.65
1980006 1980 01 06 99.27 16.33 4.74 0 3.65 NA NA 51.1
1980007 1980 01 07 150.16 18.51 3.44 0 2.28 NA NA 39.32
1980008 1980 01 08 100.11 17.69 7.52 0 2.61 NA NA 52.52
1980009 1980 01 09 92.84 16.9 10.65 0.53 2.87 NA NA 72.85
1980010 1980 01 10 130.88 18.91 6.66 0 1.85 NA NA 23.08
1980011 1980 01 11 143.45 17.96 3.3 0 1.5 NA NA 21.94
1980012 1980 01 12 132.83 14.65 2.8 0 1.94 NA NA 49.39
1980013 1980 01 13 131.99 18.12 5.15 0 2.95 NA NA 27.35
1980014 1980 01 14 115.21 15.12 5.74 0 2.04 NA NA 58.69
1980015 1980 01 15 131.99 11.96 -0.14 0 3.69 NA NA 27.16
1980016 1980 01 16 124.44 16.17 1.82 0 2.53 NA NA 28.87
1980017 1980 01 17 118.56 14.91 2.39 0 3.19 NA NA 43.69
1980018 1980 01 18 130.03 13.3 0.2 0 2.73 NA NA 31.34
1980019 1980 01 19 46.14 13.31 5.77 4.62 4.02 NA NA 78.74
1980020 1980 01 20 67.68 10.15 3.94 7.05 3.32 NA NA 65.72
1980021 1980 01 21 118 9.6 -1.43 0 1.94 NA NA 46.92
1980022 1980 01 22 100.11 13.57 4.3 0.1 2.73 NA NA 56.99
1980023 1980 01 23 35.51 11.17 6.38 7.71 3.69 NA NA 80.45
1980024 1980 01 24 131.99 4.92 -3.11 0.48 5.23 NA NA 86.43
1980025 1980 01 25 100.11 4.9 -3.11 0 1.41 NA NA 43.21
1980026 1980 01 26 130.87 12.36 1.36 0 1.5 NA NA 54.99
1980027 1980 01 27 139.54 10.48 -2.93 0 2.37 NA NA 32.39
1980028 1980 01 28 126.96 10.48 -3.11 0 3.1 NA NA 30.58
1980029 1980 01 29 67.67 13.28 1.24 7.87 3.15 NA NA 63.25
1980030 1980 01 30 137.02 13.81 1.54 0 1.41 NA NA 26.59
1980031 1980 01 31 110.46 12.05 2.91 1.59 3.69 NA NA 52.05
1980032 1980 02 01 182.87 23.35 8.51 0 1.06 NA NA 25.25
1980033 1980 02 02 209.2 15.92 4.12 0 3.22 NA NA 39.25
1980034 1980 02 03 168.03 20.66 5.59 0 2.17 NA NA 29.75
1980035 1980 02 04 180.64 14.1 4.17 0.13 3.01 NA NA 27.7
1980036 1980 02 05 175.45 19.85 8.3 0.84 2.58 NA NA 34.84
1980037 1980 02 06 182.87 21.98 5.61 0 0.6 NA NA 12.82
1980038 1980 02 07 89.77 15.49 8.44 0.06 2.8 NA NA 65.2
1980039 1980 02 08 174.34 17.05 3.32 0 0.78 NA NA 25.15
1980040 1980 02 09 130.94 14.23 7.66 0 5.89 NA NA 55.21
1980041 1980 02 10 173.97 19.37 6.9 0 2.71 NA NA 27.89
1980042 1980 02 11 173.97 14.2 -0.46 0 1.64 NA NA 20.45
1980043 1980 02 12 163.21 15.78 3.99 0 3.52 NA NA 25.25
1980044 1980 02 13 129.83 10.38 3.53 5.46 2.87 NA NA 65.98
1980045 1980 02 14 196.96 16.81 3.71 0 1.26 NA NA 20.65
1980046 1980 02 15 180.64 18.34 7.4 0 0.5 NA NA 35.73
1980047 1980 02 16 156.53 11.51 2.5 1.49 4.09 NA NA 39.25
1980048 1980 02 17 173.23 11.51 -3.4 0 2.25 NA NA 14.38
1980049 1980 02 18 50.82 8.51 3.99 4.93 2.87 NA NA 70.68
1980050 1980 02 19 92.36 12.28 1.41 0.52 2.33 NA NA 38.96
1980051 1980 02 20 133.53 14.12 3.99 0.61 0.7 NA NA 41.11
1980052 1980 02 21 192.88 14.23 2.79 0 5.32 NA NA 29.56
1980053 1980 02 22 169.51 17.89 7.66 0 1.95 NA NA 49.73
1980054 1980 02 23 180.64 17.82 3.62 0 1.15 NA NA 25.25
1980055 1980 02 24 95.7 15.71 6.6 0.07 2.41 NA NA 51.2
1980056 1980 02 25 152.45 19.61 8.55 0 2.51 NA NA 44.05
1980057 1980 02 26 175.45 20.72 5.61 0 1.46 NA NA 11.25
1980058 1980 02 27 177.67 21.72 8.09 0 1.35 NA NA 28.68
1980059 1980 02 28 200.67 19.61 5.09 0 3.69 NA NA 18.98
1980060 1980 02 29 175.08 17.37 2.57 0 1.55 NA NA 13.79
1980061 1980 03 01 257.87 19.61 6.92 0 0.93 NA NA 28.72
1980062 1980 03 02 262.05 27.32 11.87 0 1.37 NA NA 12.67
1980063 1980 03 03 194.22 21.09 9.51 0 0.49 NA NA 39.29
1980064 1980 03 04 196.54 13.65 2.68 1.68 3.14 NA NA 17
1980065 1980 03 05 251.83 18.19 6.63 0 5.85 NA NA 17
1980066 1980 03 06 226.28 20.38 7.4 0 4.57 NA NA 19.3
1980067 1980 03 07 206.3 18.52 4.14 0 0.7 NA NA 26.8
1980068 1980 03 08 231.85 21.3 8.99 0 0.39 NA NA 22.95
1980069 1980 03 09 251.37 22.78 8.13 0 2.89 NA NA 22.09
1980070 1980 03 10 207.23 22.43 10.93 0 0.93 NA NA 26.12
1980071 1980 03 11 183.53 19.76 6.77 0.01 1.77 NA NA 42.07
1980072 1980 03 12 185.85 25.57 9.95 0.01 0.93 NA NA 29.39
1980073 1980 03 13 223.95 21.03 5.96 0 1.77 NA NA 22.76
1980074 1980 03 14 221.63 21.92 6.77 0.01 3.69 NA NA 29.39
1980075 1980 03 15 87.82 14.84 8.47 13.82 2.04 NA NA 72.34
1980076 1980 03 16 225.35 21.92 8.99 0 1.17 NA NA 29.2
1980077 1980 03 17 209.55 23.79 10.07 0 0.7 NA NA 22.57
1980078 1980 03 18 243 21.3 8.72 0 1.17 NA NA 39.19
1980079 1980 03 19 173.77 14.48 4.52 0 1.68 NA NA 39.09
1980080 1980 03 20 251.37 22.64 6.23 0 1.77 NA NA 24.2
1980081 1980 03 21 269.02 24.03 8.13 0 1.47 NA NA 27.95
1980082 1980 03 22 251.83 26.4 11.3 0 2.41 NA NA 27.57
1980083 1980 03 23 256.01 23.58 5.71 0 1.28 NA NA 17.77
1980084 1980 03 24 223.96 24.27 11.64 0 0.6 NA NA 21.61
1980085 1980 03 25 203.51 24.47 12.22 0 1.55 NA NA 20.94
1980086 1980 03 26 239.29 21.66 4.75 0 1.17 NA NA 31.79
1980087 1980 03 27 183.53 19.67 7.63 0 1.01 NA NA 27.95
1980088 1980 03 28 177.96 15.97 8.17 0 2.55 NA NA 54.56
1980089 1980 03 29 146.36 15.05 6.3 0.5 0.49 NA NA 55.81
1980090 1980 03 30 151.47 17.3 10.07 0.71 3.63 NA NA 60.42
1980091 1980 03 31 173.31 18.07 2.6 0 2.64 NA NA 35.35
1980092 1980 04 01 315.92 24.13 7.89 0 0.84 NA NA 20.14
1980093 1980 04 02 153.8 13.81 5.98 2.32 4.92 NA NA 36.02
1980094 1980 04 03 249.86 23.35 6.43 0 1.38 NA NA 37.59
1980095 1980 04 04 139.92 16.99 8.15 0.77 4.15 NA NA 34.19
1980096 1980 04 05 288.72 27.18 14.31 0 0.93 NA NA 15.24
1980097 1980 04 06 126.59 17.1 10.76 8.56 2.64 NA NA 64.44
1980098 1980 04 07 89.39 12.41 6.99 4.7 3.97 NA NA 71.67
1980099 1980 04 08 184.89 17.84 7.37 2.32 2.45 NA NA 45.07
1980100 1980 04 09 145.47 15.68 8.19 24.9 4.26 NA NA 54.63
1980101 1980 04 10 250.97 25.58 9.86 0 0.93 NA NA 10.58
1980102 1980 04 11 169.9 21.05 10.33 0 1.3 NA NA 48.4
1980103 1980 04 12 320.37 26.73 12.72 0 2.27 NA NA 27.95
1980104 1980 04 13 220.98 24.13 11.62 0 1.48 NA NA 39.17
1980105 1980 04 14 249.86 18.33 6.81 0 2.45 NA NA 26.79
1980106 1980 04 15 214.32 24.85 12.8 0 1.86 NA NA 38.84
1980107 1980 04 16 227.65 24.8 9.93 0 1.7 NA NA 31.53
1980108 1980 04 17 250.41 20.17 5.36 0 2.84 NA NA 33.61
1980109 1980 04 18 202.66 14.02 4.35 3.54 2.9 NA NA 15.99
1980110 1980 04 19 275.95 17.76 1.9 0 2.84 NA NA 14.16
1980111 1980 04 20 187.11 16.4 7.29 0 1.86 NA NA 43.41
1980112 1980 04 21 193.22 22.66 8.6 0 2.36 NA NA 33.11
1980113 1980 04 22 281.51 18.89 4.15 0 0.93 NA NA 39.26
1980114 1980 04 23 241.52 19.13 4.91 0 5.5 NA NA 12.83
1980115 1980 04 24 64.41 13.51 8.02 4.7 3.76 NA NA 75.08
1980116 1980 04 25 255.4 22.74 8.19 0 2.9 NA NA 23.13
1980117 1980 04 26 295.38 23.68 9.18 0 2.06 NA NA 21.39
1980118 1980 04 27 277.62 20.06 5.27 0 2.73 NA NA 27.7
1980119 1980 04 28 312.04 23.03 6.62 0 0.93 NA NA 22.88
1980120 1980 04 29 152.69 16.69 7.2 0 1.78 NA NA 43.5
1980121 1980 04 30 205.43 19.88 10.49 0.86 0.93 NA NA 54.96
1980122 1980 05 01 257.05 27.59 12.74 0 1.13 NA NA 17.43
1980123 1980 05 02 122.19 12.38 7.23 6.75 0.94 NA NA 61.29
1980124 1980 05 03 276.65 25.27 9.75 0 1.36 NA NA 29.07
1980125 1980 05 04 155.61 20.92 9.77 1.34 2.24 NA NA 46.33
1980126 1980 05 05 278.96 20.7 6.2 0 2.14 NA NA 19.21
1980127 1980 05 06 337.74 22.61 9.51 0.01 3.56 NA NA 17.34
1980128 1980 05 07 306.62 23.08 9.51 0.01 0.47 NA NA 33.24
1980129 1980 05 08 336.01 27.48 13.53 0 3.47 NA NA 15.56
1980130 1980 05 09 308.35 28.21 14.56 0 1.07 NA NA 27.97
1980131 1980 05 10 324.49 25.8 9.75 0 1.46 NA NA 32.47
1980132 1980 05 11 189.05 22.04 11.29 4.4 0.27 NA NA 49.05
1980133 1980 05 12 300.29 27.28 14.47 0.01 0.94 NA NA 38.85
1980134 1980 05 13 111.81 15.41 8.48 3.76 0.47 NA NA 64.35
1980135 1980 05 14 288.75 24.73 12.47 0 0.86 NA NA 35.79
1980136 1980 05 15 150.43 17.42 10.35 10.68 2.78 NA NA 61.63
1980137 1980 05 16 99.71 16.3 9.69 2.1 0.67 NA NA 56.11
1980138 1980 05 17 75.5 20.39 13.27 5.1 1.81 NA NA 62.65
1980139 1980 05 18 290.48 31.76 18.4 0 2.44 NA NA 20.32
1980140 1980 05 19 337.74 28.49 11.77 0 1.36 NA NA 13.43
1980141 1980 05 20 319.3 22.46 7.84 0 2.14 NA NA 28.99
1980142 1980 05 21 306.04 23.61 8.96 0 1.26 NA NA 35.88
1980143 1980 05 22 296.24 25.55 10.13 0 4.27 NA NA 24.57
1980144 1980 05 23 165.41 17.79 9.38 2.62 3.83 NA NA 43.27
1980145 1980 05 24 249.56 25.38 14.27 0 2.44 NA NA 33.15
1980146 1980 05 25 265.7 24.99 10.98 0 2.03 NA NA 43.87
1980147 1980 05 26 243.79 25.55 11.6 0 0.37 NA NA 34.51
1980148 1980 05 27 296.24 30.9 16.16 0 2.14 NA NA 26.86
1980149 1980 05 28 280.69 28.18 14.14 0 2.03 NA NA 24.91
1980150 1980 05 29 349.84 32.66 16.21 0 1.13 NA NA 6.72
1980151 1980 05 30 319.3 27.73 14.93 0 0.94 NA NA 38.17
1980152 1980 05 31 341.78 29.94 15.66 0 2.44 NA NA 27.88
1980153 1980 06 01 280.45 33.03 15.33 2.6 0.5 NA NA 26.92
1980154 1980 06 02 327.76 30.65 15.42 0 1.8 NA NA 28.02
1980155 1980 06 03 165.87 23.57 13.12 1.2 1.89 NA NA 36.08
1980156 1980 06 04 343.16 30.87 17.82 0 1.8 NA NA 20.22
1980157 1980 06 05 255.94 31.07 17.69 0.74 1.59 NA NA 10.04
1980158 1980 06 06 331.18 33.36 17.42 0 3.46 NA NA 12.84
1980159 1980 06 07 326.63 29.03 12.64 0 1.11 NA NA 20.39
1980160 1980 06 08 351.7 33.25 17.31 0 0.81 NA NA 19.54
1980161 1980 06 09 187.54 27.57 14.89 0 1.01 NA NA 27.34
1980162 1980 06 10 338.6 31.66 17.08 0 2.18 NA NA 14.79
1980163 1980 06 11 152.19 21.81 11.9 1.86 1.8 NA NA 56.26
1980164 1980 06 12 307.81 34.62 15.52 0 1.8 NA NA 15.72
1980165 1980 06 13 343.15 31.24 16.51 0 2.51 NA NA 14.87
1980166 1980 06 14 157.89 22.87 13.56 1.22 1.41 NA NA 47.7
1980167 1980 06 15 222.31 26.03 14.24 0 2.39 NA NA 36.67
1980168 1980 06 16 87.21 22.93 9.99 6.26 1.01 NA NA 51.85
1980169 1980 06 17 340.87 37.47 18.7 0 2.51 NA NA 8.17
1980170 1980 06 18 321.5 36.89 20.19 0 1.69 NA NA 9.36
1980171 1980 06 19 349.42 33.03 16.24 0 2.31 NA NA 12.16
1980172 1980 06 20 341.44 34.4 16.76 0 1.11 NA NA 12.16
1980173 1980 06 21 335.74 32.41 18.11 0 1.11 NA NA 14.79
1980174 1980 06 22 343.15 32.41 16.83 0 1.41 NA NA 23.52
1980175 1980 06 23 307.81 30.87 18.11 0 1.99 NA NA 33.87
1980176 1980 06 24 299.83 25.5 11.86 0 4.2 NA NA 23.27
1980177 1980 06 25 281.59 28.83 11.9 0 1.31 NA NA 21.57
1980178 1980 06 26 185.83 32.07 18.55 0 1.41 NA NA 9.19
1980179 1980 06 27 227.44 31.68 14.13 0 0.81 NA NA 21.57
1980180 1980 06 28 314.09 30.48 15.29 0 1.89 NA NA 27.34
1980181 1980 06 29 370.51 33.7 16.05 0 2.09 NA NA 9.78
1980182 1980 06 30 318.64 31.52 19.63 0.3 1.41 NA NA 29.12
1980183 1980 07 01 322.77 35.41 17.4 0 1.81 NA NA 22.25
